CODIGO,CRIADO EM,ATUALIZADO EM,TEMA,INDICADOR,UNIDADE,DEFINICAO,USO,METODOLOGIA,PERIODICIDADE,FONTE
educ_tx_analfab_25mais,14/11/26,,Educacacao,Taxa analfabetismo 25 anos ou mais,,"Percentual de pessoas de 25 anos ou mais que não sabem ler e escrever, em relação ao total da população dessa faixa etária.",Medir a dimensão do analfabetismo na população adulta e acompanhar sua evolução ao longo do tempo. O IBGE utiliza essa faixa etária em suas divulgações de analfabetismo. ,,,http://www.atlasbrasil.org.br/consulta/planilha
educ_tx_evasao_fundamental,14/11/26,,Educacacao,Taxa de evasao ensino fundamental,,"Percentual de estudantes do ensino fundamental que, ao final do ano letivo, são classificados na situação de abandono, conforme a metodologia da taxa de rendimento escolar utilizada pela fonte. ",Monitorar a permanência dos estudantes no ensino fundamental e identificar mudanças na proporção de alunos que deixam de frequentar a escola durante o ano letivo.,,,http://www.atlasbrasil.org.br/consulta/planilha
educ_tx_evasao_medio,14/11/26,,Educacacao,Taxa de evasao ensino medio,,"Percentual de estudantes do ensino médio classificados na situação de abandono ao final do ano letivo, conforme a metodologia da fonte. ",Acompanhar a permanência dos estudantes no ensino médio e identificar mudanças no abandono nessa etapa.,,,http://www.atlasbrasil.org.br/consulta/planilha
seg_tx_homicidio_doloso,14/11/26,,Seguranca Publica,Taxa de homicidio doloso,,"Número de homicídios dolosos registrados em determinado período em relação à população residente, geralmente expressa por 100 mil habitantes. Homicídio doloso corresponde à morte de alguém com indício de ação intencional, segundo a classificação estatística adotada pelo Sinesp. ",Monitorar a ocorrência de mortes violentas intencionais e comparar a evolução da violência letal ao longo do tempo.,,,http://www.atlasbrasil.org.br/consulta/planilha
seg_ameacas,14/11/26,,Seguranca Publica,Ameaças,,"Número de ocorrências registradas pelas autoridades policiais classificadas como ameaça, conforme a legislação e a metodologia da fonte.",Acompanhar a frequência registrada desse tipo de ocorrência e sua evolução temporal.,,,https://www.ispvisualizacao.rj.gov.br/
seg_estelionato,14/11/26,,Seguranca Publica,Estelionato,,"Número de ocorrências policiais registradas como estelionato, correspondentes, conforme a legislação penal, a situações de obtenção de vantagem ilícita mediante fraude.",Acompanhar a evolução dos registros de crimes patrimoniais praticados mediante fraude.,,,https://www.ispvisualizacao.rj.gov.br/
seg_preconceitos_todos,14/11/26,,Seguranca Publica,Preconceitos de qualquer tipo,,"Número de registros ou vítimas relacionados a crimes de preconceito ou discriminação, conforme as categorias adotadas pela fonte. No RJ, por exemplo, o ISP separa injúria por preconceito, preconceito de raça/cor e outras categorias. ",Monitorar registros relacionados à discriminação e intolerância.,,,https://www.ispvisualizacao.rj.gov.br/
seg_latrocinio,14/11/26,,Seguranca Publica,Latrocinio,,Número de casos de roubo que resultaram em morte. O Sinesp classifica o roubo seguido de morte como latrocínio e o separa dos homicídios dolosos. ,Acompanhar a incidência de crimes patrimoniais com resultado morte.,,,https://www.ispvisualizacao.rj.gov.br/
seg_injuria,14/11/26,,Seguranca Publica,Injuria,,"Número de ocorrências registradas como injúria, isto é, ofensa à dignidade ou ao decoro de alguém, segundo a classificação jurídica utilizada pela fonte.",Monitorar a evolução dos registros desse tipo de ocorrência.,,,https://www.ispvisualizacao.rj.gov.br/
seg_desaparecidos,14/11/26,,Seguranca Publica,Pessoas desaparecidas,,"Número de pessoas cujo paradeiro é desconhecido e cujo desaparecimento foi registrado, segundo a definição e metodologia da fonte. A legislação brasileira considera desaparecida a pessoa cujo paradeiro é desconhecido, independentemente da causa. ",Acompanhar a quantidade de desaparecimentos registrados e sua evolução histórica.,,,https://www.ispvisualizacao.rj.gov.br/
seg_tentativa_estup,14/11/26,,Seguranca Publica,Tentativa de estupro,,"Número de registros/vítimas de tentativa de estupro, conforme a classificação utilizada pelo órgão responsável pelos dados. O IBGE também apresenta estupro e tentativa de estupro como indicadores de segurança pública. ",Monitorar a ocorrência registrada de violência sexual na forma tentada.,,,https://www.ispvisualizacao.rj.gov.br/
assist_tx_pobreza_desigualdade,14/11/26,,Assistencia Social,Taxa de pobreza e desigualdade,,"Esse nome reúne dois conceitos diferentes. Pobreza mede a proporção da população abaixo de determinada linha de pobreza; desigualdade mede a distribuição da renda, podendo ser representada, por exemplo, pelo Índice de Gini. O IBGE define o Gini como medida de concentração da distribuição, variando de 0 a 1.",Monitorar pobreza e distribuição de renda. Recomendo separar em dois indicadores.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/10079/72454
assist_porcent_vulneraveis_pobreza_pnad,14/11/26,,Assistencia Social,% de pessoas vulneraveis a pobreza PNAD,,"Percentual de pessoas classificadas como vulneráveis à pobreza segundo a linha, conceito e metodologia definidos pela fonte/PNAD utilizada.",Acompanhar a parcela da população em situação de vulnerabilidade econômica.,,,http://www.atlasbrasil.org.br/consulta/planilha
assist_porcent_pobres_pnad,14/11/26,,Assistencia Social,% de pobres PNAD,,Percentual da população cuja renda se encontra abaixo da linha de pobreza definida pela metodologia utilizada na fonte. O valor depende da linha de pobreza adotada. (Nada IBGE),Acompanhar a proporção da população em situação de pobreza ao longo do tempo.,,,http://www.atlasbrasil.org.br/consulta/planilha
assist_porcent_cadunico_bolsafamilia,14/11/26,,Assistencia Social,% pessoas inscritas no Cadastro Unico que recebem Bolsa Familia,,"Percentual de pessoas inscritas no Cadastro Único que recebem benefício do Bolsa Família, calculado conforme os denominadores definidos pela fonte. O Cadastro Único é o principal instrumento de identificação e caracterização socioeconômica de famílias de baixa renda, enquanto a inscrição não implica concessão automática do Bolsa Família. (Serviços e Informações do Brasil)",Observar a cobertura do Bolsa Família dentro do universo considerado pelo indicador.,,,http://www.atlasbrasil.org.br/consulta/planilha
assist_abrigos,14/11/26,,Assistencia Social,Abrigo ou Casa lar (unidades conveniadas),,"Quantidade de unidades de acolhimento, como abrigo institucional ou Casa Lar, que ofertam serviço de acolhimento por meio da rede conveniada, conforme a classificação da fonte. O SUAS inclui Casa Lar e Abrigo Institucional entre as unidades de acolhimento. (Serviços e Informações do Brasil)",Acompanhar a disponibilidade da rede de acolhimento socioassistencial.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/10079/72454
assist_centropop,14/11/26,,Assistencia Social,Centro POP,,Número de unidades do Centro de Referência Especializado para População em Situação de Rua existentes no território. O Centro POP é uma unidade pública voltada ao atendimento especializado da população em situação de rua. (Serviços e Informações do Brasil),Monitorar a estrutura disponível para atendimento especializado à população em situação de rua.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/10079/72454
assist_creas,14/11/26,,Assistencia Social,CREAS,,Número de Centros de Referência Especializados de Assistência Social existentes no território. O CREAS atende situações que demandam proteção social especial e intervenções especializadas.,Acompanhar a estrutura da proteção social especial.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/10079/72454
assist_cras,14/11/26,,Assistencia Social,CRAS,,Número de Centros de Referência de Assistência Social existentes no território. Os CRAS integram a rede pública de assistência social e atuam principalmente na proteção social básica. (Serviços e Informações do Brasil),Acompanhar a estrutura territorial da proteção social básica.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/10079/72454
saneamentob_ind_agua_encanada,14/11/26,,Saneamento basico,Indicador de atendimento total de agua,,"Percentual da população total atendida por rede de abastecimento de água, segundo a metodologia do SNIS.",Monitorar a cobertura do serviço de abastecimento de água.,,,https://tratabrasil.org.br/wp-content/uploads/2023/03/Tabela-Resumo_Ranking-do-Saneamen
saneamentob_ind_esgoto,14/11/26,,Saneamento basico,Indicador de atentimento total de esgoto,,"Percentual da população total atendida por rede pública de esgotamento sanitário. No SNIS, o índice de atendimento total é calculado com base na população atendida pelo serviço e na população residente considerada na metodologia. (Serviços e Informações do Brasil)",Monitorar a cobertura da rede de esgotamento sanitário.,,,https://tratabrasil.org.br/wp-content/uploads/2023/03/Tabela-Resumo_Ranking-do-Saneamen
saneamentob_ind_trat_esgoto,14/11/26,,Saneamento basico,Indicador de tratamento de esgoto,,"Percentual do esgoto tratado em relação a um determinado volume de referência. É necessário registrar se seu dado usa o volume total gerado (IN046) ou o volume coletado (IN016), pois são indicadores diferentes. (Serviços e Informações do Brasil)",Avaliar a parcela do esgoto submetida a tratamento.,,,https://tratabrasil.org.br/wp-content/uploads/2023/03/Tabela-Resumo_Ranking-do-Saneamen
saneamentob_ind_coleta_seletiva,14/11/26,,Saneamento basico,Coleta seletiva,,"Indicador que representa a existência ou a cobertura da coleta seletiva de resíduos recicláveis, conforme a métrica adotada pela fonte. O SNIS reúne informações sobre coleta seletiva e recuperação de recicláveis. (Serviços e Informações do Brasil)",Monitorar a implantação e a abrangência da coleta seletiva.,,,https://infosanbas.org.br/municipio/sao-goncalo-rj/
saneamentob_ind_internacoes_mortes_saneamento_inadequado,14/11/26,,Saneamento basico,Internacoes e mortes por saneamento inadequado,,"Mede eventos de hospitalização e/ou óbito associados a doenças relacionadas às condições inadequadas de saneamento, segundo a metodologia epidemiológica adotada pela fonte. Condições inadequadas de saneamento e água podem estar relacionadas à ocorrência de doenças. (BVSMS)",Monitorar possíveis impactos das condições de saneamento sobre a saúde da população.,,,https://infosanbas.org.br/municipio/sao-goncalo-rj/
desenvecono_empregos_formais,14/11/26,,Desenvolvimento economico,Empregos formais ,,"Quantidade de vínculos de emprego formal registrados no território no período de referência, conforme a fonte utilizada.",Monitorar o tamanho e a evolução do mercado de trabalho formal.,,,https://observatorio.sebrae.com.br/
desenvecono_emprego_industrial,14/11/26,,Desenvolvimento economico,Emprego no setor Industrial,,"Quantidade de vínculos formais classificados em atividades industriais, segundo a classificação econômica da fonte.",Identificar o peso e a evolução do emprego industrial no mercado de trabalho formal.,,,https://observatorio.sebrae.com.br/
desenvecono_emprego_comercio,14/11/26,,Desenvolvimento economico,Emprego no setor do comercio,,Quantidade de vínculos formais classificados nas atividades de comércio segundo a classificação econômica adotada pela fonte.,Acompanhar a participação e a evolução do comércio no emprego formal.,,,https://observatorio.sebrae.com.br/
desenvecono_emprego_servicos,14/11/26,,Desenvolvimento economico,Emprego no setor de serviços,,Quantidade de vínculos formais classificados nas atividades de serviços segundo a classificação econômica da fonte.,Acompanhar a evolução do emprego no setor de serviços.,,,https://observatorio.sebrae.com.br/
desenvecono_emprego_adm_publica,14/11/26,,Desenvolvimento economico,Emprego no setor da administraçao publica,,"Quantidade de vínculos formais classificados nas atividades de administração pública, defesa e seguridade social, conforme a classificação utilizada pela fonte.",Monitorar a dimensão do emprego formal ligado à administração pública.,,,https://observatorio.sebrae.com.br/
desenvecono_emprego_agricultura,14/11/26,,Desenvolvimento economico,Emprego no setor da agricultura,,Quantidade de vínculos formais classificados nas atividades agropecuárias conforme a classificação econômica da fonte.,Acompanhar a evolução do emprego formal ligado à agropecuária.,,,https://observatorio.sebrae.com.br/
moburb_frota_microonibus,14/11/26,,Mobilidade urbana,Frota de micro onibus,,Quantidade de veículos classificados como micro-ônibus registrados no município no período de referência.,Acompanhar a composição e a evolução da frota municipal.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/22/28120
moburb_frota_onibus,14/11/26,,Mobilidade urbana,Frota de onibus,,Quantidade de veículos classificados como ônibus registrados no município.,Monitorar a frota de ônibus e sua evolução ao longo do tempo.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/22/28120
moburb_frota_motocicleta,14/11/26,,Mobilidade urbana,Frota de motocicleta,,Quantidade de motocicletas registradas no município no período de referência.,Acompanhar a evolução da frota de motocicletas e sua participação na mobilidade individual.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/22/28120
moburb_frota_automoveis,14/11/26,,Mobilidade urbana,Frota de automoveis,,Quantidade de automóveis registrados no município no período de referência.,Acompanhar a evolução da frota de automóveis.,,,https://cidades.ibge.gov.br/brasil/rj/sao-goncalo/pesquisa/22/28120
meioamb_emissoes_liquida_gases_estufa,14/11/26,,Meio ambiente,Estimativa emissoes liquidas de gases de efeito estufa,,"Estimativa das emissões antrópicas de gases de efeito estufa descontadas as remoções de carbono, resultando em emissões líquidas. O SEEG disponibiliza estimativas para municípios e setores, e define emissões líquidas como emissões menos remoções. (Seeg)",Monitorar a evolução das emissões líquidas do território e sua contribuição para o balanço de gases de efeito estufa.,,,https://plataforma.seeg.eco.br/territorio/rj-sao-goncalo
